iter	Logloss
0	0.6683704007
1	0.6346663906
2	0.6156900534
3	0.5936898925
4	0.5808150919
5	0.5699821938
6	0.5605998062
7	0.5529241753
8	0.5472581973
9	0.5416982228
10	0.5370067363
11	0.5326184951
12	0.5300426417
13	0.5251059711
14	0.5221157236
15	0.5176440331
16	0.5162548752
17	0.514243621
18	0.5125373769
19	0.5105188693
20	0.5059643688
21	0.5048815535
22	0.5019234434
23	0.5011792671
24	0.5002679199
25	0.4996958501
26	0.4986842275
27	0.4979581956
28	0.4975568475
29	0.4972507171
30	0.4968436119
31	0.4964081685
32	0.4959904016
33	0.4935879621
34	0.4934247676
35	0.4925485365
36	0.4923090062
37	0.4921614114
38	0.4920666434
39	0.4906316483
40	0.4899258446
41	0.4897102724
42	0.4895058177
43	0.4880890462
44	0.4875947715
45	0.4872247149
46	0.4870777407
47	0.4861991088
48	0.4856080979
49	0.4853608489
50	0.4851931604
51	0.4851233889
52	0.4850598125
53	0.4848121554
54	0.4840256141
55	0.4835628984
56	0.4835136473
57	0.4835102029
58	0.4831580772
59	0.4829669497
60	0.4829333497
61	0.4823367229
62	0.4822087636
63	0.4821949841
64	0.4821411553
65	0.4819746016
66	0.4819712251
67	0.481962735
68	0.4819613687
69	0.48195001
70	0.4818394619
71	0.4818333597
72	0.4814588295
73	0.4810361999
74	0.4810356933
75	0.4809831641
76	0.4809803364
77	0.4809790852
78	0.4809727742
79	0.4808697913
80	0.480861242
81	0.4808473535
82	0.4805098645
83	0.4804716015
84	0.4804691936
85	0.4804688298
86	0.4804687169
87	0.4804273093
88	0.4804219776
89	0.4804231873
90	0.4803361891
91	0.4803052602
92	0.4802853892
93	0.4802869758
94	0.480286846
95	0.480210928
96	0.4802037335
97	0.4801817741
98	0.480159077
99	0.4801323815
100	0.4800447339
101	0.4800193532
102	0.4800113044
103	0.4799833005
104	0.4799818529
105	0.4799821746
106	0.4799727281
107	0.4798195583
108	0.4796354567
109	0.4796293499
110	0.4796341265
111	0.47961642
112	0.4796108383
113	0.4796120602
114	0.4796025522
115	0.4796123558
116	0.479600443
117	0.4795930595
118	0.4795990966
119	0.4795917709
120	0.4795931227
121	0.4795821556
122	0.479580903
123	0.4795513409
124	0.4795497957
125	0.4795352424
126	0.4795134977
127	0.4795162741
128	0.4795058128
129	0.4794934125
130	0.4794911887
131	0.4794404895
132	0.4794277116
133	0.4794007964
134	0.4793815785
135	0.4793767736
136	0.4793384606
137	0.4793385927
138	0.4793382065
139	0.4793112269
140	0.4793114841
141	0.4793038036
142	0.4792234512
143	0.4791907862
144	0.4791878894
145	0.4791918861
146	0.4791867096
147	0.4791864509
148	0.479188551
149	0.4791856158
150	0.4791873659
151	0.4791749081
152	0.4791699096
153	0.4791703609
154	0.4791609473
155	0.4791658515
156	0.4791564501
157	0.4791190367
158	0.4791194229
159	0.4791241581
160	0.4790346768
161	0.4790335247
162	0.4790143421
163	0.479010125
164	0.4790106731
165	0.4790093198
166	0.4789953661
167	0.4789656662
168	0.4789510069
169	0.4789468674
170	0.4788756284
171	0.478872859
172	0.478876604
173	0.4788736765
174	0.4788737156
175	0.478840514
176	0.4788396789
177	0.478837915
178	0.478774024
179	0.4787755424
180	0.4786602105
181	0.4786575401
182	0.4786107685
183	0.4785235855
184	0.4785223935
185	0.4784843609
186	0.4784866827
187	0.4784858523
188	0.4784860472
189	0.478485886
190	0.4784853227
191	0.4784526431
192	0.4784403438
193	0.4784097628
194	0.4784049625
195	0.4784000749
196	0.4784006881
197	0.4783957587
198	0.4783958239
199	0.4783974366
200	0.4783973752
201	0.478344296
202	0.4783278215
203	0.4783256077
204	0.4783239972
205	0.4783269631
206	0.4782511507
207	0.4781802731
208	0.4781775988
209	0.4781242289
210	0.4781059669
211	0.4780607286
212	0.4780606005
213	0.4780606964
214	0.478012203
215	0.4780146682
216	0.4779884312
217	0.4779887858
218	0.4779895266
219	0.4779584126
220	0.477958187
221	0.4779332658
222	0.4779215721
223	0.4779055593
224	0.4778927899
225	0.4778848102
226	0.4778629256
227	0.4778442669
228	0.4778441357
229	0.4778410101
230	0.4778358251
231	0.4778281995
232	0.4778263753
233	0.4778109422
234	0.4777974455
235	0.4777827897
236	0.4777832088
237	0.4777727463
238	0.477761253
239	0.4777491163
240	0.4777437491
241	0.4777398242
242	0.4777355005
243	0.4777309429
244	0.4777316177
245	0.4777239323
246	0.4777223533
247	0.4777168938
248	0.4777099206
249	0.4777099206
250	0.4777133919
251	0.4777091919
252	0.4777010588
253	0.4777010244
254	0.4776949546
255	0.477692722
256	0.4776939132
257	0.4776933637
258	0.4776889448
259	0.477685907
