iter	Passed	Remaining
0	3	1909
1	8	2168
2	10	1835
3	12	1623
4	15	1574
5	20	1698
6	23	1725
7	26	1655
8	28	1591
9	32	1627
10	34	1581
11	36	1530
12	38	1498
13	40	1463
14	44	1487
15	48	1511
16	50	1491
17	54	1504
18	56	1476
19	59	1471
20	63	1491
21	66	1486
22	68	1461
23	71	1470
24	74	1463
25	78	1470
26	82	1484
27	85	1489
28	88	1487
29	92	1493
30	94	1475
31	97	1476
32	101	1479
33	104	1485
34	108	1481
35	111	1481
36	114	1484
37	116	1466
38	121	1477
39	123	1468
40	125	1455
41	128	1452
42	132	1455
43	135	1450
44	138	1441
45	142	1450
46	145	1449
47	150	1464
48	154	1470
49	156	1453
50	160	1456
51	162	1446
52	165	1438
53	169	1444
54	172	1444
55	175	1435
56	178	1432
57	181	1432
58	184	1427
59	186	1416
60	189	1409
61	191	1402
62	195	1402
63	197	1392
64	200	1391
65	204	1387
66	208	1392
67	211	1391
68	215	1392
69	218	1390
70	221	1383
71	223	1377
72	226	1369
73	228	1358
74	230	1351
75	232	1345
76	236	1344
77	239	1340
78	241	1330
79	244	1330
80	247	1326
81	251	1327
82	255	1328
83	259	1330
84	261	1322
85	263	1316
86	267	1315
87	269	1308
88	273	1308
89	275	1300
90	279	1301
91	282	1300
92	286	1299
93	289	1297
94	293	1297
95	295	1290
96	298	1288
97	301	1282
98	304	1281
99	308	1279
100	311	1278
101	315	1276
102	318	1275
103	321	1271
104	325	1269
105	328	1268
106	332	1267
107	336	1266
108	339	1263
109	342	1260
110	345	1258
111	349	1256
112	352	1254
113	355	1251
114	358	1248
115	362	1245
116	365	1242
117	368	1239
118	371	1236
119	374	1233
120	377	1228
121	380	1225
122	383	1223
123	387	1221
124	391	1222
125	395	1220
126	398	1217
127	401	1215
128	405	1213
129	409	1213
130	413	1211
131	416	1208
132	420	1206
133	423	1203
134	426	1200
135	429	1197
136	433	1195
137	436	1191
138	439	1188
139	442	1185
140	445	1182
141	448	1179
142	452	1175
143	455	1172
144	458	1169
145	461	1166
146	464	1163
147	467	1159
148	470	1156
149	474	1154
150	477	1151
151	481	1149
152	484	1145
153	487	1143
154	491	1140
155	494	1138
156	497	1134
157	501	1132
158	504	1128
159	507	1125
160	510	1122
161	513	1119
162	516	1116
163	520	1113
164	523	1110
165	526	1106
166	529	1103
167	532	1100
168	535	1097
169	538	1093
170	542	1090
171	545	1087
172	548	1084
173	551	1081
174	555	1078
175	558	1075
176	561	1072
177	564	1069
178	568	1066
179	571	1062
180	574	1060
181	577	1056
182	581	1054
183	584	1051
184	588	1049
185	591	1046
186	595	1044
187	598	1041
188	602	1039
189	605	1036
190	610	1034
191	613	1032
192	616	1029
193	620	1026
194	623	1023
195	627	1021
196	630	1018
197	634	1015
198	637	1012
199	641	1010
200	644	1007
201	648	1004
202	651	1000
203	654	998
204	657	994
205	661	992
206	665	989
207	668	986
208	671	983
209	675	980
210	678	977
211	681	974
212	684	970
213	687	967
214	691	964
215	694	961
216	697	957
217	700	954
218	703	951
219	707	948
220	710	944
221	713	941
222	716	938
223	720	936
224	724	933
225	727	930
226	730	926
227	734	924
228	737	920
229	740	917
230	743	914
